Station,Entries,Latitude,Longitude,Year
Sandringham,710850,-37.95033018,145.0045614,2024
Seaford,308950,-38.10402104,145.1282304,2023
Seaford,320500,-38.10402104,145.1282304,2024
Seaholme,86500,-37.86784231,144.8409577,2023
Seaholme,93100,-37.86784231,144.8409577,2024
Seddon,381350,-37.80900514,144.8956716,2023
Seddon,416600,-37.80900514,144.8956716,2024
Showgrounds,138000,-37.7835,144.915,2023
Showgrounds,114900,-37.7835,144.915,2024
Somerville,7400,-38.22534196,145.1762449,2023
Somerville,8050,-38.22534196,145.1762449,2024
South Kensington,304650,-37.79953087,144.925469,2023
South Kensington,324400,-37.79953087,144.925469,2024
South Morang,534400,-37.6491588,145.0670324,2023
South Morang,569650,-37.6491588,145.0670324,2024
South Yarra,1669900,-37.83844935,144.9923422,2020
South Yarra,3100250,-37.83844935,144.9923422,2023
South Yarra,3199050,-37.83844935,144.9923422,2024
Southern Cross,4556450,-37.81793643,144.9514112,2020
Southern Cross,14019450,-37.81793643,144.9514112,2023
Southern Cross,14696050,-37.81793643,144.9514112,2024
Southland,432800,-37.958758,145.049124,2023
Southland,479000,-37.958758,145.049124,2024
Spotswood,294100,-37.83063888,144.8859335,2023
Spotswood,354600,-37.83063888,144.8859335,2024
Springvale,754300,-37.94950878,145.1534518,2020
Springvale,1473100,-37.94950878,145.1534518,2023
Springvale,1429400,-37.94950878,145.1534518,2024
St Albans,500200,-37.74486131,144.8000505,2020
St Albans,1022200,-37.74486131,144.8000505,2023
St Albans,962650,-37.74486131,144.8000505,2024
Stony Point,6700,-38.37423454,145.2218375,2023
Stony Point,6950,-38.37423454,145.2218375,2024
Strathmore,299900,-37.74359132,144.9273157,2023
Strathmore,303300,-37.74359132,144.9273157,2024
Sunbury,690850,-37.57909097,144.7273188,2023
Sunbury,691050,-37.57909097,144.7273188,2024
Sunshine,896350,-37.78853633,144.8328782,2020
Sunshine,1830400,-37.78853633,144.8328782,2023
Sunshine,1577600,-37.78853633,144.8328782,2024
Syndal,682000,-37.87622963,145.1497805,2023
Syndal,698100,-37.87622963,145.1497805,2024
Tecoma,43350,-37.90811849,145.3429946,2023
